Date,B3_DI_1M,B3_DI_3M,B3_DI_6M,B3_DI_1Y,B3_DI_2Y,B3_DI_5Y,B3_DI_10Y,BCB_SELIC,BCB_CDI
2000-01-03,,,,,,,,19.0,18.78
2000-01-04,,,,,,,,19.0,18.75
2000-01-05,,,,,,,,19.0,18.74
2000-01-06,,,,,,,,19.0,18.75
2000-01-07,,,,,,,,19.0,18.75
2000-01-10,,,,,,,,19.0,18.75
2000-01-11,,,,,,,,19.0,18.77
2000-01-12,,,,,,,,19.0,18.74
2000-01-13,,,,,,,,19.0,18.74
2000-01-14,,,,,,,,19.0,18.76
2000-01-17,,,,,,,,19.0,18.74
2000-01-18,,,,,,,,19.0,18.73
2000-01-19,,,,,,,,19.0,18.68
2000-01-20,,,,,,,,19.0,18.67
2000-01-21,,,,,,,,19.0,18.76
2000-01-24,,,,,,,,19.0,18.76
2000-01-25,,,,,,,,19.0,18.77
2000-01-26,,,,,,,,19.0,18.72
2000-01-27,,,,,,,,19.0,18.69
2000-01-28,,,,,,,,19.0,18.69
2000-01-31,,,,,,,,19.0,18.68
2000-02-01,,,,,,,,19.0,18.71
2000-02-02,,,,,,,,19.0,18.7
2000-02-03,,,,,,,,19.0,18.7
2000-02-04,,,,,,,,19.0,18.72
2000-02-07,,,,,,,,19.0,18.69
2000-02-08,,,,,,,,19.0,18.72
2000-02-09,,,,,,,,19.0,18.69
2000-02-10,,,,,,,,19.0,18.71
2000-02-11,,,,,,,,19.0,18.7
2000-02-14,,,,,,,,19.0,18.7
2000-02-15,,,,,,,,19.0,18.71
2000-02-16,,,,,,,,19.0,18.73
2000-02-17,,,,,,,,19.0,18.7
2000-02-18,,,,,,,,19.0,18.74
2000-02-21,,,,,,,,19.0,18.78
2000-02-22,,,,,,,,19.0,18.76
2000-02-23,,,,,,,,19.0,18.76
2000-02-24,,,,,,,,19.0,18.75
2000-02-25,,,,,,,,19.0,18.74
2000-02-28,,,,,,,,19.0,18.73
2000-02-29,,,,,,,,19.0,18.76
2000-03-01,,,,,,,,19.0,18.75
2000-03-02,,,,,,,,19.0,18.76
2000-03-03,,,,,,,,19.0,18.75
2000-03-06,,,,,,,,19.0,
2000-03-07,,,,,,,,19.0,
2000-03-08,,,,,,,,19.0,18.75
2000-03-09,,,,,,,,19.0,18.76
2000-03-10,,,,,,,,19.0,18.76
2000-03-13,,,,,,,,19.0,18.76
2000-03-14,,,,,,,,19.0,18.78
2000-03-15,,,,,,,,19.0,18.78
2000-03-16,,,,,,,,19.0,18.78
2000-03-17,,,,,,,,19.0,18.76
2000-03-20,,,,,,,,19.0,18.76
2000-03-21,,,,,,,,19.0,18.77
2000-03-22,,,,,,,,19.0,18.59
2000-03-23,,,,,,,,19.0,18.71
2000-03-24,,,,,,,,19.0,18.79
2000-03-27,,,,,,,,19.0,18.78
2000-03-28,,,,,,,,19.0,18.76
2000-03-29,,,,,,,,18.5,18.41
2000-03-30,,,,,,,,18.5,18.38
2000-03-31,,,,,,,,18.5,18.37
2000-04-03,,,,,,,,18.5,18.35
2000-04-04,,,,,,,,18.5,18.36
2000-04-05,,,,,,,,18.5,18.4
2000-04-06,,,,,,,,18.5,18.41
2000-04-07,,,,,,,,18.5,18.4
2000-04-10,,,,,,,,18.5,18.39
2000-04-11,,,,,,,,18.5,18.4
2000-04-12,,,,,,,,18.5,18.41
2000-04-13,,,,,,,,18.5,18.44
2000-04-14,,,,,,,,18.5,18.48
2000-04-17,,,,,,,,18.5,18.48
2000-04-18,,,,,,,,18.5,18.48
2000-04-19,,,,,,,,18.5,18.43
2000-04-20,,,,,,,,18.5,18.47
2000-04-21,,,,,,,,18.5,
2000-04-24,,,,,,,,18.5,18.47
2000-04-25,,,,,,,,18.5,18.47
2000-04-26,,,,,,,,18.5,18.47
