test_date,primary,cohort_name,n_members,window_start,window_end,intra_corr_1y,pc1_variance_pct,p_independence_intra,p_random_basket_intra,p_random_basket_pc1,n_permutations,holdout_window,train_intra,test_intra,train_pc1_pct,test_pc1_pct,stability_ratio,threshold_stable_width,threshold_stable_ranges,definition_date,oos_start,oos_end,oos_obs,oos_intra,oos_pc1_pct,oos_vs_insample_ratio,p_oos_random_basket,oos_verdict,p_vol_matched_intra,p_vol_matched_pc1
2026-05-13,NVDA,AI Compute,3,2025-05-08,2026-05-08,0.5683,71.28,,0.023,0.026,1000,2y,0.6716,0.5683,78.18,71.28,0.8462,0.0,none,,,,,,,,,,,
2026-05-13,WTW,AI financial disintermediation basket (AIFD),10,2025-04-30,2026-04-30,0.3167,43.87,,0.003157894736842105,0.003157894736842105,1000,2y,0.6108,0.3169,65.21,43.96,0.5188,0.0,none,,,,,,,,,,,
2026-05-13,MSFT,AI hyperscalers,5,2025-04-30,2026-04-30,0.2849,43.35,,0.028,0.054,1000,2y,0.6516,0.285,72.36,43.36,0.4373,0.0,none,,,,,,,,,,,
2026-05-13,BX,Alternative asset managers basket (ALTM),6,2025-04-30,2026-04-30,0.7608,80.14,,0.0,0.0,1000,2y,0.906,0.7605,92.18,80.12,0.8395,0.15,0.30-0.45,,,,,,,,,,,
2026-05-13,ZTS,Animal health,4,2025-04-30,2026-04-30,0.3237,49.78,,0.025380710659898477,0.03857868020304569,1000,2y,0.4056,0.3236,56.79,49.77,0.7978,0.0,none,,,,,,,,,,,
2026-05-13,WHR,Appliance / housing durables,5,2025-04-30,2026-04-30,0.4662,58.41,,0.0010193679918450561,0.0020387359836901123,1000,2y,0.6692,0.4648,74.4,58.31,0.6947,0.0,none,,,,,,,,,,,
2026-05-13,PWP,Boutique advisory,6,2025-04-30,2026-04-30,0.7363,78.14,,0.0,0.0,1000,2y,0.8066,0.7352,83.94,78.05,0.9115,0.05,0.35-0.40,,,,,,,,,,,
2026-05-13,V,Card networks duopoly,2,2025-04-30,2026-04-30,0.8329,91.64,,0.002,0.002,1000,2y,0.8949,0.8334,94.74,91.67,0.9313,0.4,0.20-0.60,,,,,,,,,,,
2026-05-13,COIN,Crypto-exposed financial platforms,2,2025-05-13,2026-05-13,0.6563,82.82,,0.008008008008008008,0.008008008008008008,1000,2y,0.7876,0.6655,89.38,83.28,0.845,0.05,0.20-0.25,,,,,,,,,,,
2026-05-13,CORZ,Crypto-to-AI converters,7,2025-05-08,2026-05-08,0.6279,68.38,,0.0,0.0,1000,2y,0.706,0.6298,75.05,68.54,0.8921,0.0,none,,,,,,,,,,,
